Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
0.0,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.0,TraderTwo,Tick,0,0,0,0,,,0,0,0,OK
0.0,TraderThree,Tick,0,0,0,0,,,0,0,0,OK
0.25,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.25,TraderTwo,Tick,0,0,0,0,,,0,0,0,OK
0.25,TraderThree,Tick,0,0,0,0,,,0,0,0,OK
0.515,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.515,TraderTwo,Tick,0,0,0,0,,,0,0,0,OK
0.515,TraderThree,Tick,0,0,0,0,,,0,0,0,OK
0.578,TraderTwo,Disconnect,0,10,-10,0,146900,,294,1468706,-294,
0.75,TraderOne,Tick,10,0,10,-10,146900,,-147,147,147,OK
0.75,TraderTwo,Tick,0,10,-10,0,146900,,294,1468706,1468706,OK
0.75,TraderThree,Tick,0,0,0,0,146900,,0,0,0,OK
1.0,TraderOne,Tick,10,10,0,0,147600,,-294,294,294,OK
1.0,TraderTwo,Tick,0,10,-10,0,147600,,294,1468706,1468706,OK
1.0,TraderThree,Tick,0,0,0,0,147600,,0,0,0,OK
1.25,TraderOne,Tick,11,10,1,-1,147000,147100,-265,365,265,OK
1.25,TraderTwo,Tick,0,10,-10,0,147000,147100,294,1468706,-1294,OK
1.25,TraderThree,Tick,0,0,0,0,147000,147100,0,0,0,OK
1.531,TraderOne,Tick,11,10,1,-1,147000,147100,-265,365,265,OK
1.531,TraderTwo,Tick,0,10,-10,0,147000,147100,294,1468706,-1294,OK
1.531,TraderThree,Tick,0,0,0,0,147000,147100,0,0,0,OK
1.75,TraderOne,Tick,11,10,1,-1,147000,147100,-265,365,265,OK
1.75,TraderTwo,Tick,0,10,-10,0,147000,147100,294,1468706,-1294,OK
1.75,TraderThree,Tick,0,0,0,0,147000,147100,0,0,0,OK
1.968,TraderOne,Tick,11,10,1,-1,147000,147100,-265,365,265,OK
1.968,TraderTwo,Tick,0,10,-10,0,147000,147100,294,1468706,-1294,OK
1.968,TraderThree,Tick,0,0,0,0,147000,147100,0,0,0,OK
2.218,TraderOne,Tick,11,10,1,-1,147000,146900,-265,365,465,OK
2.218,TraderTwo,Tick,0,10,-10,0,147000,146900,294,1468706,-1294,OK
2.218,TraderThree,Tick,0,0,0,0,147000,146900,0,0,0,OK
2.546,TraderOne,Tick,21,10,11,-11,146400,146900,-412,-488,-2688,OK
2.546,TraderTwo,Tick,0,10,-10,0,146400,146900,294,1468706,1706,OK
2.546,TraderThree,Tick,0,0,0,0,146400,146900,0,0,0,OK
2.781,TraderOne,Tick,21,10,11,-11,146400,146900,-412,-488,-2688,OK
2.781,TraderTwo,Tick,0,10,-10,0,146400,146900,294,1468706,1706,OK
2.781,TraderThree,Tick,0,0,0,0,146400,146900,0,0,0,OK
2.984,TraderOne,Tick,21,10,11,-11,146400,146900,-412,-488,-2688,OK
